country,num,color,never,less_one_by_month,one_by_month,two_by_month,three_by_month,more_three_by_month,one_by_week,two_by_week,three_by_week
Canada,17,#f9dc06,0,2,8,5,2,0,0,0,0
Royaume-Uni,8,#fbb603,0,2,2,2,2,0,0,0,0
États-Unis,5,#f4791c,0,1,2,2,0,0,0,0,0
Pays-Bas,5,#ff3636,0,1,1,2,1,0,0,0,0
Allemagne,4,#99071f,0,2,2,0,0,0,0,0,0
Suède,4,#cc297e,0,1,2,1,0,0,0,0,0
Australie,3,#f78bc4,0,0,2,1,0,0,0,0,0
Japon,3,#fcd9d9,0,1,0,1,0,1,0,0,1
Norvège,2,#a29bf9,0,0,1,1,0,0,0,0,0
Italie,2,#804ef9,1,0,0,1,0,0,0,0,0
France,1,#4038f9,0,0,1,0,0,0,0,0,0
Pologne,1,#078985,0,0,0,0,0,1,1,0,0
Espagne,1,#2cc6db,0,0,0,1,0,0,0,0,0
Nouvelle-Zélande,1,#7efce4,0,0,0,1,0,0,0,0,0
DOM-TOM,1,#28b22b,0,0,0,1,0,0,0,0,0
Finlande,1,#40d343,0,1,0,0,0,0,0,0,0
Pérou,1,#89f48e,0,1,0,0,0,0,0,0,0
Belgique,1,#036622,0,1,0,0,0,0,0,0,0
Israël,1,#fccdf3,0,0,1,0,0,0,0,0,0
Aucun,2,#c9c7c7,0,2,0,0,0,0,0,0,0
